OBČINE,2022 Naravni prirast na 1.000 prebivalcev,2021 Bruto prejeti dohodek - SKUPAJ,Ratio 0-20 let,Index
Radenci,0.6928934010152284,0.3417524819231531,0.3342337977567509,0.4562932268983775
Cirkulane,0.6395939086294417,0.368181488363068,0.3685086353073074,0.458761344099939
Sveti Tomaž,0.6878172588832487,0.2861151716699182,0.4079816977036041,0.460638042752257
Podvelka,0.682741116751269,0.2526902277817228,0.4495421886162041,0.4616578443830653
Piran/Pirano,0.6497461928934011,0.444213900726335,0.2935458157279899,0.46250196978257535
Trbovlje,0.6091370558375635,0.4087108022459397,0.3706461732974012,0.4628313437936347
Moravske Toplice,0.7309644670050762,0.3111818413803056,0.3562768094490123,0.4661410392781314
Renče - Vogrsko,0.5177664974619289,0.4028301709891575,0.4834869926358083,0.4680278870289649
Solčava,0.6776649746192893,0.1686256541621384,0.5693431239053492,0.471877917562259
Puconci,0.7081218274111675,0.2521472497674407,0.4673139090970654,0.4758609954252246
Lenart,0.5380710659898477,0.3859481203258846,0.5169586473763862,0.48032594456403954
Kanal,0.6649746192893401,0.3490810545513543,0.430574859632912,0.48154351115786875
Rogatec,0.7258883248730965,0.2569525236656071,0.4640762374703868,0.4823056953363635
Radlje ob Dravi,0.5659898477157361,0.3657821125431997,0.524693813973072,0.4854885914106693
Loški Potok,0.6218274111675127,0.3505200278174322,0.4901080945187531,0.48748517783456596
Beltinci,0.6751269035532995,0.2989901098103734,0.4889095180230889,0.48767551046225394
Križevci,0.7385786802030457,0.3315100903414321,0.3931247282771782,0.48773783294055195
Dobrovnik/Dobronak,0.7842639593908629,0.2554621876143943,0.4302130074443121,0.4899797181498564
Ormož,0.6979695431472082,0.3341116561726246,0.4433952285073861,0.49182547594240633
Murska Sobota,0.6928934010152284,0.4213305570253283,0.3640718901616485,0.49276528273406833
Turnišče,0.7766497461928935,0.3085411419985342,0.3935941490821774,0.4929283457578684
Tišina,0.7868020304568528,0.2659931891316346,0.4264651022327375,0.49308677394040834
Tolmin,0.6370558375634519,0.3996595381099637,0.4438199243103432,0.4935117666612529
Maribor,0.6979695431472082,0.4010805751653596,0.3831418967647506,0.4940640050257728
Brda,0.6446700507614213,0.3581575924387459,0.4858085590818711,0.4962120674273461
Kozje,0.7233502538071066,0.2666242176347193,0.499079374289435,0.4963512819104203
Bistrica ob Sotli,0.751269035532995,0.2944595860485631,0.4433704975114516,0.4963663730310032
Ilirska Bistrica,0.6751269035532995,0.4074511910866816,0.4188583755142343,0.5004788233847385
Lovrenc na Pohorju,0.6700507614213198,0.3791755702288253,0.4594455410933602,0.5028906242478351
Središče ob Dravi,0.8248730964467005,0.2960567240815641,0.3929917561187806,0.5046405255490151
Črna na Koroškem,0.7614213197969544,0.4427708510487385,0.3143163432982284,0.5061695047146404
Dornava,0.7106598984771574,0.3309948319254767,0.4835150662080547,0.5083899322035629
Odranci,0.6979695431472082,0.2476093884648968,0.5816212846783823,0.5090667387634957
Šoštanj,0.5812182741116751,0.4132470329838761,0.5390255482666905,0.5111636184540805
Videm,0.7258883248730965,0.3604713636167228,0.4538855990984855,0.5134150958627682
Razkrižje,0.7639593908629442,0.2409085832105653,0.5377520588428473,0.5142066776387856
Ruše,0.7309644670050762,0.4169215103267732,0.3978816284323817,0.515255868588077
Zavrč,0.8578680203045684,0.3726484201051878,0.3171754504424465,0.5158972969507342
Laško,0.6928934010152284,0.3677200385791586,0.4884240087546612,0.5163458161163494
Sveti Jurij ob Ščavnici,0.6903553299492385,0.2273789733802175,0.6353986456659677,0.5177109829984746
Makole,0.751269035532995,0.3359810984950704,0.47321946069778,0.5201565315752817
Kobarid,0.7309644670050762,0.3738615601731333,0.4567032024989002,0.5205097432257032
Veržej,0.7131979695431473,0.3446190145030569,0.5130556858862557,0.5236242233108199
Ribnica na Pohorju,0.802030456852792,0.2772766962152149,0.4932262872384667,0.5241778134354912
Sevnica,0.6370558375634519,0.4320971751283459,0.5038901507142112,0.5243477211353363
Brežice,0.7131979695431473,0.3944865718928164,0.4691814394291653,0.5256219936217097
Izola/Isola,0.6776649746192893,0.4338761211150779,0.46563428938773,0.5257251283740324
Loška dolina,0.7690355329949239,0.3356712912196541,0.4786438489671646,0.5277835577272475
Luče,0.8604060913705583,0.2145757800824902,0.5125690428798974,0.529183638110982
Sežana,0.7208121827411167,0.3838324627477134,0.4866058808494988,0.5304168421127763
Dravograd,0.6624365482233503,0.4147895471025274,0.5146755727694647,0.5306338893651141
Gorišnica,0.6446700507614213,0.3842833138616743,0.5670825160189642,0.53201196021402
Kočevje,0.7157360406091371,0.3585277306046378,0.5220591862606344,0.5321076524914697
Ptuj,0.7208121827411167,0.4537869455366962,0.4224757842291963,0.5323583041690031
Majšperk,0.7360406091370558,0.3595052540868063,0.5031993333323566,0.5329150655187396
Šentrupert,0.8172588832487311,0.3286786149005886,0.4547614643987111,0.5335663208493435
Rečica ob Savinji,0.7487309644670052,0.3820119373634912,0.4712172658424169,0.5339867225576378
Kungota,0.7639593908629442,0.3435591475082119,0.4983316265018086,0.5352833882909883
Črenšovci,0.8172588832487311,0.266944623580084,0.5282900001608845,0.5374978356632331
Šentilj,0.7969543147208121,0.3305195223424039,0.4877476746137314,0.5384071705589825
Nova Gorica,0.7106598984771574,0.425603451579161,0.4820053260320712,0.5394228920294631
Žetale,0.8629441624365483,0.3200496669979431,0.4456525619536737,0.5428821304627217
Prevalje,0.6522842639593909,0.4572461883514095,0.5196140996476782,0.5430481839861595
Dobrepolje,0.5761421319796954,0.4343033290422308,0.6261441944443081,0.5455298851554115
Radeče,0.751269035532995,0.4180677972458134,0.4683639850514986,0.5459002726101023
Komen,0.7690355329949239,0.4255145858080548,0.4434816492163348,0.5460105893397711
Sveta Trojica v Slov. goricah,0.7893401015228427,0.3760440709002103,0.4728964486334317,0.5460935403521616
Rogaška Slatina,0.8223350253807107,0.3268809174208707,0.48908936961139,0.5461017708043238
Selnica ob Dravi,0.751269035532995,0.4547008769991742,0.432619864893383,0.546196592475184
Kidričevo,0.7055837563451777,0.3911928313857598,0.5440686918718174,0.5469484265342516
Črnomelj,0.7436548223350254,0.3467901112778817,0.5520124920229488,0.5474858085452853
Metlika,0.7411167512690355,0.3562742903171367,0.5455661214013178,0.5476523876624967
Jesenice,0.7588832487309645,0.3591636508015449,0.531888514067494,0.5499784712000012
Starše,0.799492385786802,0.4026345032362631,0.4500192840077264,0.5507153910102639
Bloke,0.616751269035533,0.4672814982279839,0.5703253267308783,0.5514526979981317
Destrnik,0.7563451776649747,0.3474570122023303,0.551085205951035,0.5516291319394466
Šmartno pri Litiji,0.616751269035533,0.3708091432279798,0.6769949835300715,0.5548517985978615
Sveti Jurij v Slov. goricah,0.8248730964467005,0.286990784864121,0.5532692285576755,0.5550443699561657
Vojnik,0.66751269035533,0.4076403365811462,0.5914692697552547,0.5555407655639103
Idrija,0.6497461928934011,0.5228120064994305,0.5029598399381127,0.5585060131103147
Sveta Ana,0.7918781725888325,0.268908638649762,0.6229640256627434,0.5612502789671127
Hoče - Slivnica,0.7131979695431473,0.4550799832704071,0.5278951611945607,0.5653910380027051
Ljubno,0.7944162436548223,0.2955129307849782,0.617165983145209,0.5690317191950032
Duplek,0.8071065989847717,0.3600441556895699,0.5512622250541295,0.572804326576157
Tržič,0.7690355329949239,0.4531233057414626,0.4964807856528427,0.5728798747964098
Vitanje,0.7690355329949239,0.3326669759304206,0.617996595180874,0.5732330347020729
