"SPOL",OBČINE,2023H2 Starost - SKUPAJ,2023H2 0-14 let,2023H2 15-64 let,2023H2 65 + let,2023H2 0-4 let,2023H2 5-9 let,2023H2 10-14 let,2023H2 15-19 let,2023H2 20-24 let,2023H2 25-29 let,2023H2 30-34 let,2023H2 35-39 let,2023H2 40-44 let,2023H2 45-49 let,2023H2 50-54 let,2023H2 55-59 let,2023H2 60-64 let,2023H2 65-69 let,2023H2 70-74 let,2023H2 75-79 let,2023H2 80-84 let,2023H2 85-89 let,2023H2 90-94 let,2023H2 95-99 let,2023H2 100 + let
"Ženske",Bohinj,2568,338,1507,723,104,127,107,115,101,124,135,131,183,155,173,205,185,188,174,129,101,78,44,8,1
"Ženske",Borovnica,2306,426,1425,455,123,149,154,96,96,121,139,164,172,170,151,160,156,144,106,76,70,34,23,2,0
"Ženske",Bovec,1513,147,900,466,36,51,60,58,39,76,88,104,89,106,103,106,131,125,104,89,75,43,22,7,1
"Ženske",Braslovče,2813,433,1706,674,113,167,153,133,90,123,122,213,206,205,206,200,208,191,179,121,93,60,22,8,0
"Ženske",Brda,2792,395,1639,758,121,130,144,116,76,110,148,176,194,209,179,212,219,191,190,105,108,89,60,14,1
"Ženske",Brezovica,6532,1086,4086,1360,288,355,443,382,304,305,344,436,492,518,451,438,416,333,334,225,215,155,79,18,1
"Ženske",Brežice,12067,1598,7201,3268,483,511,604,546,440,516,636,719,838,910,812,912,872,939,811,566,448,332,142,29,1
"Ženske",Cankova,868,112,541,215,44,27,41,34,33,50,40,56,48,67,61,86,66,67,62,31,24,16,14,1,0
"Ženske",Celje,24530,3453,14848,6229,971,1162,1320,1123,856,1145,1336,1648,1793,1781,1562,1802,1802,1718,1485,1171,899,609,276,70,1
"Ženske",Cerklje na Gorenjskem,3914,630,2445,839,208,184,238,209,197,204,223,255,270,282,312,271,222,218,173,133,125,116,53,17,4
"Ženske",Cerknica,5755,914,3497,1344,271,281,362,291,195,297,346,366,388,398,378,433,405,341,300,197,245,169,72,18,2
"Ženske",Cerkno,2165,324,1265,576,91,107,126,115,48,101,117,120,131,156,144,170,163,187,148,80,92,41,23,4,1
"Ženske",Cerkvenjak,1008,166,642,200,54,51,61,27,41,66,66,75,82,74,73,72,66,71,49,33,30,11,6,0,0
"Ženske",Cirkulane,1053,125,672,256,31,40,54,61,43,48,49,68,81,67,75,94,86,85,63,44,35,26,3,0,0
"Ženske",Črenšovci,1967,285,1177,505,73,104,108,98,74,95,108,111,144,158,127,117,145,173,141,92,51,33,11,2,2
"Ženske",Črna na Koroškem,1541,212,917,412,60,84,68,61,55,76,71,86,95,100,111,137,125,143,78,72,64,38,16,1,0
"Ženske",Črnomelj,6980,1021,4092,1867,308,362,351,309,230,313,366,455,460,466,407,520,566,569,473,280,233,204,94,13,1
"Ženske",Destrnik,1281,178,821,282,50,65,63,67,46,69,70,92,103,106,81,88,99,96,73,49,45,13,5,1,0
"Ženske",Divača,2125,318,1322,485,98,104,116,91,50,94,140,146,177,154,137,166,167,142,124,70,77,48,20,2,2
"Ženske",Dobje,496,81,309,106,23,33,25,33,12,36,14,42,30,36,40,41,25,32,22,24,20,5,2,1,0
"Ženske",Dobrepolje,1887,283,1182,422,94,89,100,86,98,97,111,119,132,98,122,160,159,101,91,68,64,60,28,10,0
"Ženske",Dobrna,1110,194,688,228,63,64,67,41,47,55,65,79,80,73,79,97,72,77,59,33,30,18,10,1,0
"Ženske",Dobrova - Polhov Gradec,3955,672,2479,804,190,237,245,226,203,212,214,217,286,293,329,272,227,206,194,149,126,85,36,8,0
"Ženske",Dobrovnik/Dobronak,639,89,382,168,27,30,32,32,18,18,27,45,45,57,45,47,48,49,52,30,14,18,4,1,0
"Ženske",Dol pri Ljubljani,3208,543,2070,595,143,198,202,186,147,159,195,230,244,274,203,212,220,179,153,116,82,43,17,5,0
"Ženske",Dolenjske Toplice,1766,274,1100,392,85,83,106,92,69,83,106,111,116,137,111,138,137,138,75,73,58,29,16,3,0
"Ženske",Domžale,18902,3072,11858,3972,940,1008,1124,945,896,951,1115,1295,1360,1428,1435,1320,1113,1084,928,754,597,386,184,35,4
"Ženske",Dornava,1406,196,915,295,52,65,79,71,57,56,85,81,102,126,115,113,109,82,77,56,41,30,7,1,1
"Ženske",Dravograd,4387,660,2567,1160,208,224,228,185,140,238,231,240,263,293,318,340,319,283,240,208,180,154,77,17,1
"Ženske",Duplek,3537,528,2231,778,131,200,197,157,142,145,218,228,261,255,262,299,264,255,196,135,115,56,18,3,0
"Ženske",Gorenja vas - Poljane,3771,799,2297,675,244,264,291,214,189,236,208,246,236,236,240,259,233,188,150,111,104,75,33,13,1
"Ženske",Gorišnica,2025,293,1248,484,89,107,97,93,82,90,116,146,148,143,133,158,139,121,106,87,79,59,22,9,1
"Ženske",Gorje,1396,201,847,348,65,71,65,69,47,74,76,92,105,90,100,95,99,91,90,63,57,32,12,3,0
"Ženske",Gornja Radgona,4212,517,2591,1104,137,200,180,167,140,187,219,264,330,278,331,342,333,287,289,196,183,99,41,9,0
"Ženske",Gornji Grad,1287,164,710,413,53,50,61,59,48,68,55,60,80,92,76,78,94,102,80,56,52,66,47,10,0
"Ženske",Gornji Petrovci,1005,100,568,337,32,34,34,30,38,36,49,69,66,62,80,71,67,112,94,42,52,21,12,3,1
"Ženske",Grad,998,136,594,268,50,42,44,34,39,51,44,59,63,81,76,67,80,65,83,48,40,27,4,1,0
"Ženske",Grosuplje,10569,1868,6622,2079,573,624,671,605,515,522,627,694,798,837,696,710,618,596,529,355,287,202,85,22,3
"Ženske",Hajdina,1894,296,1117,481,79,96,121,88,66,66,93,121,150,130,148,122,133,147,119,89,66,42,17,1,0
"Ženske",Hoče - Slivnica,5808,855,3458,1495,234,315,306,258,220,248,285,355,418,399,430,431,414,415,340,274,250,146,59,11,0
"Ženske",Hodoš/Hodos,175,22,97,56,8,11,3,6,6,5,7,12,12,9,9,12,19,14,18,5,8,8,2,1,0
"Ženske",Horjul,1504,250,859,395,69,95,86,82,68,69,94,91,98,83,94,89,91,75,85,48,73,72,32,8,2
"Ženske",Hrastnik,4488,518,2679,1291,156,175,187,186,144,195,216,281,287,298,291,365,416,381,307,208,207,117,55,13,3
"Ženske",Hrpelje - Kozina,2463,370,1522,571,109,120,141,105,75,107,153,189,189,189,161,176,178,162,158,96,83,51,18,2,1
"Ženske",Idrija,5797,828,3308,1661,227,274,327,267,198,249,293,327,371,376,424,392,411,380,434,266,265,182,101,32,1
"Ženske",Ig,3817,676,2363,778,171,246,259,201,144,173,225,273,322,280,243,258,244,251,220,112,110,60,23,2,0
"Ženske",Ilirska Bistrica,6560,888,3726,1946,257,308,323,283,195,222,318,411,461,442,431,485,478,531,488,305,308,185,96,31,2
"Ženske",Ivančna Gorica,8667,1555,5535,1577,469,546,540,455,386,460,603,625,607,654,562,647,536,493,371,234,242,151,71,15,0
"Ženske",Izola/Isola,8234,1081,4769,2384,312,347,422,344,277,333,390,508,597,590,493,579,658,708,586,354,339,255,115,23,4
"Ženske",Jesenice,10641,1464,6437,2740,452,493,519,522,452,499,619,695,762,721,619,766,782,901,688,442,359,222,97,30,1
"Ženske",Jezersko,324,57,192,75,20,16,21,12,11,13,21,22,15,26,23,22,27,20,25,10,9,8,3,0,0
"Ženske",Juršinci,1200,167,698,335,59,49,59,59,37,55,65,78,78,87,80,83,76,74,70,53,59,51,21,7,0
"Ženske",Kamnik,15095,2480,9242,3373,721,811,948,739,681,714,807,1034,1058,1106,1013,1042,1048,1017,849,510,476,332,153,32,4
"Ženske",Kanal,2518,326,1461,731,93,92,141,96,74,88,108,155,181,168,188,206,197,197,171,117,121,78,37,8,2
"Ženske",Kidričevo,3332,497,2057,778,157,153,187,164,114,157,167,228,244,242,236,259,246,225,184,135,112,78,37,7,0
"Ženske",Kobarid,1973,250,1194,529,50,97,103,85,70,76,96,127,146,135,135,168,156,139,136,79,83,59,29,3,1
"Ženske",Kobilje,257,30,155,72,5,12,13,6,9,12,14,13,18,20,15,30,18,19,19,11,12,7,2,2,0
"Ženske",Kočevje,7791,1100,4588,2103,324,367,409,326,315,329,413,496,568,510,470,538,623,660,522,291,282,212,111,24,1
"Ženske",Komen,1746,225,1038,483,57,79,89,80,47,60,75,96,128,136,140,143,133,143,122,79,70,49,16,4,0
"Ženske",Komenda,3295,643,2094,558,187,220,236,208,156,168,181,223,304,268,227,203,156,174,133,88,99,40,21,3,0
"Ženske",Koper/Capodistria,27224,3770,16686,6768,1075,1277,1418,1251,1397,1196,1457,1781,2070,2085,1824,1807,1818,1907,1687,1133,986,664,313,69,9
"Ženske",Kostanjevica na Krki,1206,167,748,291,39,56,72,69,34,50,72,85,75,86,80,106,91,82,69,56,42,32,7,2,1
"Ženske",Kostel,292,21,168,103,5,7,9,12,6,12,9,15,15,23,18,30,28,22,30,20,18,8,5,0,0
"Ženske",Kozje,1474,195,911,368,65,67,63,81,40,69,63,88,97,109,110,145,109,98,92,67,47,42,18,4,0
"Ženske",Kranj,28403,4267,17373,6763,1209,1478,1580,1389,1223,1360,1600,1946,2027,2036,1913,1980,1899,1795,1603,1265,1038,683,310,59,10
"Ženske",Kranjska Gora,2602,278,1447,877,88,97,93,107,72,86,119,143,164,181,168,205,202,228,229,153,118,90,43,15,1
"Ženske",Križevci,1710,216,1035,459,73,61,82,80,49,83,98,99,114,126,144,119,123,130,117,76,68,43,20,5,0
"Ženske",Krško,12762,2050,7664,3048,638,692,720,598,471,606,690,848,892,849,853,920,937,905,722,507,414,316,151,30,3
"Ženske",Kungota,2396,329,1501,566,102,93,134,128,77,102,110,156,184,210,175,183,176,177,156,97,78,45,11,2,0
"Ženske",Kuzma,822,101,484,237,30,43,28,36,26,36,39,56,48,71,59,59,54,37,68,51,34,29,12,6,0
"Ženske",Laško,6545,931,3939,1675,290,295,346,281,227,302,327,430,438,437,461,503,533,433,404,318,249,171,80,20,0
"Ženske",Lenart,4280,607,2566,1107,188,215,204,194,156,210,224,260,293,309,304,329,287,284,253,217,161,91,79,22,0
"Ženske",Lendava/Lendva,5121,602,2990,1529,188,213,201,187,137,214,239,307,330,373,355,397,451,466,399,270,194,123,64,13,0
"Ženske",Litija,7795,1189,4856,1750,335,424,430,371,333,387,442,532,578,517,521,612,563,545,437,291,249,146,65,16,1
"Ženske",Ljubljana,153088,20605,96825,35658,6275,6897,7433,6997,11673,8763,8821,10332,11244,10511,9661,9776,9047,9054,8741,6395,5497,3611,1818,475,67
"Ženske",Ljubno,1258,214,760,284,65,71,78,44,51,57,79,80,79,80,89,100,101,84,74,43,42,26,12,2,1
"Ženske",Ljutomer,5547,698,3249,1600,214,214,270,278,196,246,247,321,374,401,396,411,379,432,378,283,249,165,81,9,3
"Ženske",Log - Dragomer,1879,252,1135,492,70,100,82,99,98,92,106,109,107,157,133,119,115,99,147,132,71,35,8,0,0
"Ženske",Logatec,7330,1269,4590,1471,353,444,472,398,329,412,442,497,530,527,476,544,435,401,308,209,228,203,94,26,2
"Ženske",Loška dolina,1690,224,1004,462,61,76,87,87,77,71,75,81,96,128,136,130,123,107,108,90,86,54,15,2,0
"Ženske",Loški Potok,872,133,507,232,36,55,42,43,31,37,42,54,57,54,54,73,62,66,38,33,47,32,13,3,0
"Ženske",Lovrenc na Pohorju,1429,210,854,365,60,73,77,52,69,50,64,83,105,104,109,107,111,120,101,67,39,26,9,2,1
"Ženske",Luče,702,105,411,186,36,38,31,36,21,42,42,40,36,48,46,64,36,56,38,29,37,20,5,0,1
"Ženske",Lukovica,2988,583,1880,525,162,218,203,149,134,162,204,195,225,222,220,203,166,155,136,89,56,59,27,3,0
"Ženske",Majšperk,1924,277,1206,441,97,70,110,79,70,84,121,126,108,153,132,176,157,135,104,75,68,35,21,3,0
"Ženske",Makole,999,132,642,225,39,42,51,46,51,43,59,64,84,69,70,75,81,78,49,41,31,17,7,2,0
"Ženske",Maribor,56584,7039,33823,15722,2199,2393,2447,2445,3446,2763,3020,3481,3820,3635,3540,3848,3825,3927,3836,2987,2489,1537,748,165,33
"Ženske",Markovci,2017,307,1251,459,94,102,111,100,66,100,124,122,150,137,144,168,140,126,99,90,75,46,18,5,0
"Ženske",Medvode,8559,1365,5166,2028,385,479,501,382,385,419,460,539,594,608,633,634,512,537,437,359,320,223,117,32,3
"Ženske",Mengeš,4308,680,2636,992,210,209,261,208,184,189,274,297,349,304,281,299,251,232,213,161,168,125,83,10,0
"Ženske",Metlika,4110,597,2394,1119,206,194,197,194,131,188,223,225,260,302,278,306,287,311,274,192,158,118,54,10,2
"Ženske",Mežica,1741,255,1004,482,90,78,87,76,74,79,82,104,114,124,109,122,120,153,98,99,81,30,20,1,0
"Ženske",Miklavž na Dravskem polju,3429,507,2092,830,144,188,175,171,119,144,166,233,264,264,247,245,239,210,224,174,113,81,26,2,0
"Ženske",Miren - Kostanjevica,2449,355,1474,620,93,114,148,104,71,98,138,138,202,186,187,177,173,187,154,98,103,46,25,5,2
"Ženske",Mirna,1343,227,846,270,68,82,77,61,39,77,96,101,88,93,76,115,100,89,62,51,37,18,11,2,0
"Ženske",Mirna Peč,1528,275,956,297,86,91,98,68,64,76,105,112,106,99,95,110,121,107,73,32,44,23,13,5,0
"Ženske",Mislinja,2283,367,1374,542,126,113,128,115,83,107,119,136,152,166,165,181,150,165,151,103,76,37,9,1,0
"Ženske",Mokronog - Trebelno,1590,281,981,328,92,87,102,87,59,78,103,82,132,103,115,102,120,91,84,62,39,31,15,5,1
"Ženske",Moravče,2810,501,1811,498,154,168,179,161,166,182,155,186,198,211,199,204,149,153,131,83,60,46,18,7,0
"Ženske",Moravske Toplice,2962,355,1763,844,110,122,123,121,85,131,128,164,207,211,259,229,228,244,231,141,114,73,32,9,0
"Ženske",Mozirje,2263,329,1413,521,102,113,114,113,92,149,124,145,163,162,167,167,131,150,135,102,81,42,8,3,0
"Ženske",Murska Sobota,9610,1089,5551,2970,300,372,417,402,272,407,440,520,662,742,672,724,710,797,787,534,430,270,121,28,3
"Ženske",Muta,1660,238,1009,413,72,83,83,91,59,73,76,119,104,131,123,132,101,137,116,67,56,25,12,0,0
"Ženske",Naklo,2726,435,1640,651,126,137,172,139,130,162,138,146,182,191,216,173,163,164,145,117,106,75,37,5,2
"Ženske",Nazarje,1296,199,810,287,64,63,72,58,46,67,70,81,102,94,100,109,83,93,61,57,33,33,9,1,0
"Ženske",Nova Gorica,15964,2133,9298,4533,615,709,809,747,538,692,780,910,1105,1211,1133,1111,1071,1134,1141,687,768,494,234,69,6
"Ženske",Novo mesto,19008,3089,11570,4349,1010,1029,1050,933,784,976,1090,1280,1348,1312,1218,1381,1248,1201,1030,736,691,428,220,41,2
"Ženske",Odranci,801,123,502,176,40,40,43,33,41,40,48,68,55,47,53,51,66,44,48,38,33,12,1,0,0
"Ženske",Oplotnica,2029,332,1285,412,101,100,131,89,79,89,121,175,135,156,124,156,161,113,122,69,61,29,16,2,0
"Ženske",Ormož,5842,706,3539,1597,221,230,255,263,206,281,293,340,382,427,447,469,431,425,388,289,252,158,74,11,0
"Ženske",Osilnica,158,12,82,64,6,3,3,3,4,6,5,7,10,6,12,12,17,19,13,11,7,8,6,0,0
"Ženske",Pesnica,3657,475,2190,992,134,144,197,150,162,159,176,198,255,259,269,277,285,274,234,172,159,100,41,11,1
"Ženske",Piran/Pirano,9117,1008,5477,2632,293,323,392,331,395,440,439,540,678,648,596,692,718,705,704,432,367,251,142,24,7
"Ženske",Pivka,2944,446,1783,715,131,149,166,137,111,127,156,189,221,231,197,207,207,195,199,116,108,70,21,5,1
"Ženske",Podčetrtek,1731,280,1063,388,90,95,95,72,49,86,115,112,119,129,117,122,142,134,101,60,55,26,12,0,0
"Ženske",Podlehnik,885,107,561,217,33,41,33,33,38,37,47,54,58,58,64,93,79,72,48,37,36,17,5,2,0
"Ženske",Podvelka,1106,136,669,301,37,47,52,56,40,45,54,67,76,72,88,97,74,95,80,49,42,23,11,1,0
"Ženske",Poljčane,2252,289,1289,674,88,93,108,93,85,87,116,115,156,161,154,163,159,171,157,104,111,74,47,8,2
"Ženske",Polzela,3244,480,1966,798,134,177,169,164,119,142,174,184,264,242,236,247,194,203,174,159,118,81,49,9,5
"Ženske",Postojna,8389,1377,5077,1935,409,470,498,421,322,386,449,614,641,621,514,578,531,563,490,325,251,187,83,31,5
"Ženske",Prebold,2650,388,1593,669,111,131,146,110,68,96,163,192,213,199,163,193,196,206,138,115,96,72,36,3,3
"Ženske",Preddvor,1971,318,1174,479,91,101,126,98,85,101,107,130,126,144,141,126,116,102,98,77,76,70,46,8,2
"Ženske",Prevalje,3391,481,1956,954,138,181,162,158,112,156,173,200,210,240,188,264,255,254,198,158,178,97,55,10,4
"Ženske",Ptuj,11684,1532,6960,3192,469,525,538,472,376,531,557,717,853,829,854,905,866,810,768,597,510,322,150,33,2
"Ženske",Puconci,3024,413,1804,807,130,123,160,147,90,135,167,162,227,232,206,215,223,235,210,135,116,66,35,9,1
"Ženske",Rače - Fram,3958,636,2461,861,192,238,206,184,140,182,213,313,307,314,263,264,281,263,215,168,127,56,27,5,0
"Ženske",Radeče,2073,279,1271,523,68,111,100,93,76,88,110,115,139,135,146,196,173,148,132,105,80,37,16,4,1
"Ženske",Radenci,2611,315,1450,846,96,121,98,99,86,113,113,133,177,179,177,186,187,218,212,158,130,79,43,6,0
"Ženske",Radlje ob Dravi,3050,419,1845,786,116,149,154,141,127,141,159,211,185,226,211,232,212,213,178,129,138,80,40,8,0
"Ženske",Radovljica,9865,1371,5873,2621,402,454,515,500,343,428,530,628,707,714,683,678,662,666,612,458,421,262,145,53,4
"Ženske",Ravne na Koroškem,5409,731,3230,1448,211,249,271,228,163,248,250,355,358,400,362,423,443,462,362,278,204,98,37,6,1
"Ženske",Razkrižje,606,87,353,166,24,28,35,26,25,28,25,36,46,39,45,44,39,47,42,29,32,10,6,0,0
"Ženske",Rečica ob Savinji,1058,144,638,276,44,46,54,42,35,53,51,56,84,78,76,89,74,96,70,38,48,12,9,2,1
"Ženske",Renče - Vogrsko,2173,312,1245,616,72,116,124,93,57,87,106,128,161,147,143,166,157,157,170,87,78,75,35,14,0
"Ženske",Ribnica,4798,835,2878,1085,264,299,272,227,173,280,311,309,295,280,315,362,326,325,211,171,181,132,46,18,1
"Ženske",Ribnica na Pohorju,550,79,335,136,22,28,29,25,19,19,27,32,41,41,32,51,48,36,37,24,21,12,5,0,1
"Ženske",Rogaška Slatina,5604,756,3457,1391,220,250,286,264,218,270,295,336,377,436,411,436,414,398,343,271,209,111,44,14,1
"Ženske",Rogašovci,1526,210,956,360,64,77,69,62,68,74,90,95,112,122,98,121,114,99,83,78,50,31,15,4,0
"Ženske",Rogatec,1455,197,916,342,65,63,69,70,38,87,68,83,99,102,135,125,109,100,96,66,37,30,12,0,1
"Ženske",Ruše,3472,435,2139,898,134,144,157,162,117,163,168,225,230,258,257,286,273,265,226,185,129,73,17,1,2
"Ženske",Selnica ob Dravi,2163,255,1364,544,77,84,94,91,85,109,126,142,134,138,167,197,175,153,141,103,91,37,16,3,0
"Ženske",Semič,1862,288,1105,469,93,98,97,78,53,79,99,120,128,121,112,152,163,157,130,66,57,44,14,1,0
"Ženske",Sevnica,8635,1258,5122,2255,417,412,429,373,324,427,463,519,531,549,578,681,677,611,549,384,328,243,114,23,3
"Ženske",Sežana,6834,968,4014,1852,277,308,383,305,208,289,352,403,532,508,460,470,487,500,482,269,273,190,101,35,2
"Ženske",Slovenj Gradec,8445,1289,5123,2033,388,445,456,393,319,375,441,533,566,616,606,622,652,634,473,368,278,195,64,19,2
"Ženske",Slovenska Bistrica,12974,1946,8057,2971,565,651,730,633,518,618,716,843,956,992,937,939,905,890,747,519,442,252,102,16,3
"Ženske",Slovenske Konjice,7388,1176,4568,1644,355,375,446,329,269,366,414,502,538,549,526,558,517,490,385,304,241,143,68,13,0
"Ženske",Sodražica,1107,215,631,261,60,79,76,52,40,40,70,76,70,74,63,72,74,76,57,41,41,29,15,2,0
"Ženske",Solčava,256,35,148,73,7,12,16,12,7,10,7,13,20,14,21,20,24,19,14,10,15,11,4,0,0
"Ženske",Središče ob Dravi,954,122,545,287,33,43,46,32,22,35,51,51,66,71,52,80,85,85,64,42,48,38,7,3,0
"Ženske",Starše,2052,265,1293,494,75,94,96,110,89,103,88,123,152,146,149,154,179,140,120,85,83,39,23,4,0
"Ženske",Straža,1883,292,1147,444,92,101,99,100,81,98,93,118,138,109,129,132,149,157,107,72,57,33,16,2,0
"Ženske",Sveta Ana,1158,179,744,235,60,58,61,50,59,64,69,84,90,74,77,96,81,57,71,39,39,21,6,2,0
"Ženske",Sveta Trojica v Slov. goricah,1072,157,704,211,63,50,44,41,36,54,89,67,64,84,80,106,83,61,51,34,29,27,8,0,1
"Ženske",Sveti Andraž v Slov. goricah,564,94,355,115,28,34,32,25,17,36,36,34,51,37,43,39,37,35,30,16,20,8,5,1,0
"Ženske",Sveti Jurij ob Ščavnici,1390,217,875,298,60,71,86,84,50,68,65,92,112,97,95,120,92,79,79,53,48,28,9,1,1
"Ženske",Sveti Jurij v Slov. goricah,1052,148,658,246,47,55,46,54,55,57,62,63,60,67,104,64,72,66,57,49,34,26,11,1,2
"Ženske",Sveti Tomaž,985,127,615,243,40,38,49,47,42,42,50,55,79,60,81,81,78,71,54,39,51,20,7,1,0
"Ženske",Šalovci,654,59,362,233,19,21,19,18,19,24,26,42,35,53,52,58,35,64,63,36,41,18,10,1,0
"Ženske",Šempeter - Vrtojba,3073,423,1746,904,113,147,163,123,86,118,147,174,213,240,217,194,234,239,229,159,137,83,48,8,1
"Ženske",Šenčur,4367,702,2757,908,219,238,245,261,209,235,239,273,305,356,322,308,249,237,231,165,143,89,34,8,1
"Ženske",Šentilj,4201,583,2631,987,177,201,205,189,184,193,226,268,306,319,312,314,320,328,257,173,123,71,29,5,1
"Ženske",Šentjernej,3582,647,2210,725,207,229,211,181,154,166,241,259,237,222,219,268,263,216,166,113,111,78,35,5,1
"Ženske",Šentjur,9627,1442,5940,2245,460,496,486,457,355,496,521,601,716,709,645,716,724,635,598,410,297,198,92,15,0
"Ženske",Šentrupert,1216,193,761,262,63,65,65,66,51,70,83,55,99,82,89,80,86,80,70,39,41,22,10,0,0
"Ženske",Škocjan,1650,294,1065,291,93,94,107,97,71,95,104,109,127,119,114,106,123,103,67,40,40,27,9,4,1
"Ženske",Škofja Loka,11996,1934,7274,2788,602,638,694,628,603,575,675,792,877,764,771,798,791,714,630,514,421,290,179,36,4
"Ženske",Škofljica,5899,1042,3670,1187,284,349,409,322,269,271,317,417,495,448,423,387,321,346,317,206,160,99,48,8,3
"Ženske",Šmarje pri Jelšah,5239,823,3211,1205,252,253,318,277,184,252,294,341,378,369,359,401,356,323,283,203,200,123,52,21,0
"Ženske",Šmarješke Toplice,1768,270,1100,398,91,77,102,94,64,81,93,127,143,117,110,135,136,117,84,56,63,47,26,4,1
"Ženske",Šmartno ob Paki,1644,240,1038,366,80,80,80,85,66,76,99,105,109,131,103,131,133,124,97,60,44,26,14,1,0
"Ženske",Šmartno pri Litiji,2835,475,1701,659,152,162,161,114,110,170,154,201,186,199,167,199,201,180,149,115,92,83,34,4,2
"Ženske",Šoštanj,4465,624,2709,1132,197,209,218,211,193,230,222,282,293,312,283,339,344,286,218,198,191,144,76,19,0
"Ženske",Štore,2162,300,1255,607,94,107,99,100,72,83,118,132,158,143,125,152,172,140,140,111,100,71,32,13,0
"Ženske",Tabor,863,171,531,161,61,56,54,36,27,48,66,55,65,62,63,61,48,52,28,28,24,24,3,1,1
"Ženske",Tišina,1968,244,1215,509,61,85,98,98,82,78,110,101,144,158,151,150,143,155,137,84,62,46,21,4,0
"Ženske",Tolmin,5373,720,3000,1653,192,260,268,231,139,203,253,308,317,375,377,391,406,426,388,246,265,201,99,28,0
"Ženske",Trbovlje,8063,1007,4725,2331,275,369,363,275,256,354,428,491,557,521,476,657,710,674,580,422,341,173,119,22,0
"Ženske",Trebnje,6538,1210,4036,1292,386,429,395,308,290,326,407,462,471,468,382,466,456,358,272,197,202,170,80,12,1
"Ženske",Trnovska vas,685,117,449,119,36,35,46,30,26,45,30,57,62,52,39,58,50,39,32,17,18,11,2,0,0
"Ženske",Trzin,2020,300,1189,531,84,93,123,105,96,92,82,119,146,175,149,118,107,124,136,131,69,46,18,7,0
"Ženske",Tržič,7503,1088,4431,1984,338,361,389,319,290,355,353,487,512,505,507,549,554,544,517,328,296,196,81,20,2
"Ženske",Turnišče,1565,185,995,385,46,66,73,67,50,72,85,99,127,129,109,127,130,123,104,56,50,39,11,2,0
"Ženske",Velenje,16418,2567,10141,3710,766,875,926,771,612,795,881,1160,1187,1171,966,1230,1368,1282,982,630,460,268,73,12,3
"Ženske",Velika Polana,688,75,419,194,20,31,24,38,14,35,25,42,58,49,63,55,40,54,44,35,34,19,7,0,1
"Ženske",Velike Lašče,2198,373,1343,482,114,139,120,106,97,104,131,144,166,136,144,149,166,126,128,92,59,44,22,10,1
"Ženske",Veržej,680,79,407,194,24,21,34,24,25,38,31,35,42,45,61,56,50,48,53,36,32,17,6,2,0
"Ženske",Videm,2610,396,1645,569,116,132,148,96,71,127,153,175,202,184,208,213,216,193,164,87,64,40,17,4,0
"Ženske",Vipava,2924,496,1739,689,153,160,183,158,105,162,176,159,206,212,199,196,166,161,175,109,108,85,42,9,0
"Ženske",Vitanje,1067,164,658,245,51,57,56,62,47,48,67,66,55,72,73,75,93,73,67,45,40,12,7,1,0
"Ženske",Vodice,2561,437,1678,446,128,150,159,168,147,103,148,167,193,203,188,201,160,126,116,84,65,42,10,3,0
"Ženske",Vojnik,4523,661,2773,1089,185,250,226,216,188,202,272,280,317,333,294,369,302,285,236,215,160,122,56,12,3
"Ženske",Vransko,1339,204,843,292,69,73,62,69,51,80,77,86,96,104,94,100,86,71,76,55,40,29,19,2,0
"Ženske",Vrhnika,8947,1444,5561,1942,441,482,521,499,389,458,492,614,654,684,598,604,569,514,482,326,266,214,115,22,3
"Ženske",Vuzenica,1299,190,816,293,54,73,63,55,55,56,73,93,75,100,105,101,103,104,63,52,31,31,10,2,0
"Ženske",Zagorje ob Savi,8235,1152,5025,2058,340,384,428,387,330,384,445,557,536,599,524,621,642,603,492,338,307,188,100,29,1
"Ženske",Zavrč,680,86,446,148,37,23,26,33,32,36,35,33,55,54,62,52,54,48,35,22,25,11,5,2,0
"Ženske",Zreče,3203,487,2049,667,164,175,148,158,132,185,186,204,224,236,235,256,233,200,186,110,91,63,15,2,0
"Ženske",Žalec,10714,1544,6480,2690,421,523,600,524,368,518,540,613,829,724,762,779,823,773,685,517,398,225,75,13,4
"Ženske",Železniki,3185,539,1951,695,166,192,181,163,152,169,184,210,202,206,211,236,218,192,159,116,109,77,36,5,1
"Ženske",Žetale,593,81,388,124,16,31,34,17,22,23,37,42,41,40,51,47,68,34,33,18,17,12,9,1,0
"Ženske",Žiri,2506,392,1529,585,124,125,143,132,91,150,154,168,160,158,170,166,180,126,155,94,90,73,36,10,1
"Ženske",Žirovnica,2235,310,1344,581,95,116,99,107,87,88,140,147,134,165,153,184,139,156,137,112,99,47,25,5,0
"Ženske",Žužemberk,2293,368,1475,450,119,128,121,119,98,118,150,156,154,173,155,193,159,132,107,66,64,43,31,7,0
