"OBČINE",Obsojeni polnoletni in mladoletni na 1000 prebivalcev 2006,Obsojeni polnoletni in mladoletni na 1000 prebivalcev 2007,Obsojeni polnoletni in mladoletni na 1000 prebivalcev 2008,Obsojeni polnoletni in mladoletni na 1000 prebivalcev 2009,Obsojeni polnoletni in mladoletni na 1000 prebivalcev 2010,Obsojeni polnoletni in mladoletni na 1000 prebivalcev 2011,Obsojeni polnoletni in mladoletni na 1000 prebivalcev 2012,Obsojeni polnoletni in mladoletni na 1000 prebivalcev 2013,Obsojeni polnoletni in mladoletni na 1000 prebivalcev 2014,Obsojeni polnoletni in mladoletni na 1000 prebivalcev 2015,Obsojeni polnoletni in mladoletni na 1000 prebivalcev 2016,Obsojeni polnoletni in mladoletni na 1000 prebivalcev 2017,Obsojeni polnoletni in mladoletni na 1000 prebivalcev 2018,Obsojeni polnoletni in mladoletni na 1000 prebivalcev 2019,Obsojeni polnoletni in mladoletni na 1000 prebivalcev 2020,Obsojeni polnoletni in mladoletni na 1000 prebivalcev 2021,Obsojeni polnoletni in mladoletni na 1000 prebivalcev 2022
"SLOVENIJA",4.3,4.5,4.6,4.1,4.1,3.9,4.3,5.7,4.7,4.0,3.4,3.2,3.1,3.0,2.4,2.8,2.6
"Ajdovščina",2.9,2.3,1.6,1.4,1.8,1.4,2.9,1.8,1.9,1.6,1.8,1.6,2.2,0.9,0.9,1.8,1.7
"Ankaran/Ancarano",0,0,0,0,0,0,0,0,0,0,1.2,0.9,3.7,1.6,0,1.2,3.0
"Apače",0.0,3.3,5.2,6.4,5.8,5.2,5.0,5.3,5.0,5.6,4.2,2.0,3.4,2.0,2.3,3.4,3.4
"Beltinci",5.1,3.8,4.2,3.0,3.0,3.5,6.0,5.8,5.9,5.2,3.1,3.1,4.3,3.5,3.4,2.8,4.3
"Benedikt",3.6,2.2,5.5,6.4,5.4,5.3,4.1,7.7,2.4,2.8,3.2,2.0,3.1,2.7,0,4.1,3.0
"Bistrica ob Sotli",2.8,0,2.1,2.8,0,0,0,0.0,4.3,4.4,0,0,0,0,4.5,0,0
"Bled",3.5,3.8,3.9,3.2,2.6,2.9,2.4,4.0,2.1,2.7,1.8,1.6,0.8,1.1,1.3,1.5,1.6
"Bloke",0,1.8,0.0,0,2.5,0,0,0,3.2,0,3.9,0,3.3,0,0,3.1,0
"Bohinj",1.5,2.5,3.5,3.6,1.3,1.3,1.0,1.0,2.1,2.1,0.6,2.7,1.4,1.4,1.7,1.4,1.3
"Borovnica",3.3,3.3,1.5,2.3,1.3,1.0,1.0,3.2,1.9,4.2,2.6,1.4,0,1.8,0,3.0,1.3
"Bovec",1.2,1.5,2.5,0,1.8,1.6,2.2,2.5,1.0,2.9,1.3,1.9,2.0,1.3,0,1.2,0
"Braslovče",1.0,0.6,1.2,1.5,1.3,1.7,1.8,2.4,2.9,2.2,1.8,2.0,1.8,2.5,1.8,2.8,0.7
"Brda",1.7,3.3,1.2,1.4,1.4,1.6,0.9,2.3,1.6,1.9,1.8,1.9,0.7,0.7,0.7,1.2,1.1
"Brezovica",0.5,1.5,1.1,1.8,1.3,1.6,2.3,3.1,2.3,2.8,0.9,1.6,2.3,1.0,1.3,0.9,1.6
"Brežice",3.7,5.8,5.0,3.2,3.0,2.5,4.4,4.2,3.8,3.2,2.4,3.0,2.7,1.9,2.0,2.1,3.2
