"OBČINE",2022 Živorojeni - Skupaj,2022 Živorojeni - moški,2022 Živorojeni - ženske,2022 Umrli - Skupaj,2022 Umrli - moški,2022 Umrli - ženske,2022 Naravni prirast - Skupaj,2022 Naravni prirast - moški,2022 Naravni prirast - ženske,2022 Živorojeni na 1.000 prebivalcev,2022 Umrli na 1.000 prebivalcev,2022 Naravni prirast na 1.000 prebivalcev
"Rogaška Slatina",103,47,56,104,62,42,-1,-15,14,9.0,9.1,-0.1
"Rogašovci",35,20,15,46,23,23,-11,-3,-8,11.3,14.8,-3.5
"Rogatec",20,9,11,32,18,14,-12,-9,-3,6.5,10.4,-3.9
"Ruše",45,24,21,71,45,26,-26,-21,-5,6.3,10.0,-3.7
"Selnica ob Dravi",27,17,10,40,25,15,-13,-8,-5,6.0,8.9,-2.9
"Semič",34,21,13,38,21,17,-4,0,-4,8.8,9.9,-1.0
"Sevnica",140,68,72,271,119,152,-131,-51,-80,7.9,15.4,-7.4
"Sežana",102,65,37,158,77,81,-56,-12,-44,7.4,11.5,-4.1
"Slovenj Gradec",150,80,70,168,86,82,-18,-6,-12,8.9,10.0,-1.1
"Slovenska Bistrica",211,115,96,228,122,106,-17,-7,-10,8.1,8.7,-0.6
"Slovenske Konjice",135,76,59,161,78,83,-26,-2,-24,8.9,10.6,-1.7
"Sodražica",24,17,7,19,9,10,5,8,-3,10.6,8.4,2.2
"Solčava",7,4,3,10,6,4,-3,-2,-1,13.5,19.3,-5.8
"Središče ob Dravi",19,11,8,19,9,10,0,2,-2,10.0,10.0,0.0
"Starše",29,10,19,33,15,18,-4,-5,1,7.1,8.1,-1.0
"Straža",34,16,18,35,14,21,-1,2,-3,8.7,9.0,-0.3
"Sveta Ana",17,6,11,20,9,11,-3,-3,0,7.3,8.6,-1.3
"Sveta Trojica v Slov. goricah",20,9,11,23,11,12,-3,-2,-1,9.2,10.6,-1.4
"Sveti Andraž v Slov. goricah",15,11,4,13,8,5,2,3,-1,12.6,10.9,1.7
"Sveti Jurij ob Ščavnici",22,10,12,37,18,19,-15,-8,-7,7.8,13.2,-5.3
"Sveti Jurij v Slov. goricah",22,14,8,22,15,7,0,-1,1,10.4,10.4,0.0
"Sveti Tomaž",13,8,5,24,11,13,-11,-3,-8,6.4,11.9,-5.4
"Šalovci",9,6,3,23,14,9,-14,-8,-6,6.6,16.9,-10.3
"Šempeter - Vrtojba",51,28,23,59,31,28,-8,-3,-5,8.2,9.5,-1.3
"Šenčur",97,42,55,78,35,43,19,7,12,10.9,8.7,2.1
"Šentilj",57,30,27,66,36,30,-9,-6,-3,6.8,7.9,-1.1
"Šentjernej",77,41,36,52,31,21,25,10,15,10.6,7.2,3.4
"Šentjur",185,108,77,194,88,106,-9,20,-29,9.5,10.0,-0.5
"Šentrupert",29,16,13,30,20,10,-1,-4,3,9.8,10.1,-0.3
"Škocjan",24,13,11,32,18,14,-8,-5,-3,7.0,9.4,-2.3
"Škofja Loka",250,121,129,217,126,91,33,-5,38,10.6,9.2,1.4
"Škofljica",110,59,51,99,57,42,11,2,9,9.4,8.5,0.9
"Šmarje pri Jelšah",96,47,49,107,51,56,-11,-4,-7,9.2,10.3,-1.1
"Šmarješke Toplice",28,16,12,48,17,31,-20,-1,-19,7.9,13.6,-5.7
"Šmartno ob Paki",27,13,14,27,17,10,0,-4,4,8.1,8.1,0.0
